dataset_id,display_name,source,source_id,source_url,license_or_terms,source_version,raw_sha256,task_type,target_column,n_rows,n_classes,class_counts,ir_majority_minority,n_min_class,d_raw,d_encoded,feature_type,has_missing,has_groups,has_time_order,has_duplicates,leakage_status,imbalance_band,eligible,exclusion_reason,applicable_conditions,notes
openml_327_bridges,bridges,OpenML,openml:327,https://openml.org/data/v1/download/327/bridges.arff,OpenML public; underlying source terms recorded in OpenML description,3,f78863d42b85ea31e668cb38d28182945a569ef42dfebcb07b1b20159773b3c8,single-label-classification,TYPE,105,6,ARCH:13|CANTILEV:11|CONT-T:10|SIMPLE-T:44|SUSPEN:11|WOOD:16,4.4,10,11,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=3; categorical_columns=8.
openml_329_hayes_roth,hayes-roth,OpenML,openml:329,https://openml.org/data/v1/download/329/hayes-roth.arff,OpenML public; underlying source terms recorded in OpenML description,1,26bd3aca4a16ba82c58d7b33828433668de770bcd2d2c3794131f5568dafb5cf,single-label-classification,class,160,3,1:65|2:64|3:31,2.096774193548387,31,4,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=67; conflicting_feature_groups=9; numeric_columns=4; categorical_columns=0.
openml_338_grub_damage,grub-damage,OpenML,openml:338,https://openml.org/data/v1/download/338/grub-damage.arff,OpenML public; underlying source terms recorded in OpenML description,1,ce98691d53c2f4171428ec0bb59a888c5973bfba05ac8e65975a1acc7a0f6337,single-label-classification,GG_new,155,4,average:41|high:46|low:49|veryhigh:19,2.5789473684210527,19,8,,mixed,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=2; categorical_columns=6.
openml_373_unix_user_data,UNIX_user_data,OpenML,openml:373,https://openml.org/data/v1/download/373/UNIX_user_data.arff,OpenML public; underlying source terms recorded in OpenML description,1,c8f46decbb49ac86354c71a38d8516cae17f039b5627a26b65cc8c768fea4aa8,single-label-classification,user,9100,9,USER0:562|USER1:488|USER2:755|USER3:484|USER4:911|USER5:546|USER6:2425|USER7:1339|USER8:1590,5.010330578512397,484,2,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=14; numeric_columns=2; categorical_columns=0.
openml_452_analcatdata_broadwaymult,analcatdata_broadwaymult,OpenML,openml:452,https://openml.org/data/v1/download/452/analcatdata_broadwaymult.arff,OpenML public; underlying source terms recorded in OpenML description,1,27de0c155ed1d542364c3e3d8933281620d8c85e45622a31ac0d97b84acb0372,single-label-classification,Count,285,7,0:118|1:34|2:32|3:21|4:25|5:21|6:34,5.619047619047619,21,7,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=3; categorical_columns=4.
openml_455_cars,cars,OpenML,openml:455,https://openml.org/data/v1/download/455/cars.arff,OpenML public; underlying source terms recorded in OpenML description,1,532629995f39a616ae8d48111af844d91510d9a180d57d9f745514fb6b9a1bfc,single-label-classification,origin,406,3,1:254|2:73|3:79,3.4794520547945207,73,7,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=6; categorical_columns=1.
openml_458_analcatdata_authorship,analcatdata_authorship,OpenML,openml:458,https://openml.org/data/v1/download/458/analcatdata_authorship.arff,OpenML public; underlying source terms recorded in OpenML description,1,070119a49866acc0f367126544ea51d63129cb1f6431f3c0be2669cac7fb06b5,single-label-classification,Author,841,4,Austen:317|London:296|Milton:55|Shakespeare:173,5.763636363636364,55,70,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=70; categorical_columns=0.
openml_473_cjs,cjs,OpenML,openml:473,https://openml.org/data/v1/download/473/cjs.arff,OpenML public; underlying source terms recorded in OpenML description,1,04ad8d712000854a1189f62b21134cb955b20b4c46f32b91eeeb06ade84dd24a,single-label-classification,TR,2796,6,EL_500_20g/L:576|EL_500_4g/L:341|PP_333_20g/L:680|PP_333_4g/L:511|control:414|methanol_control:274,2.4817518248175183,274,34,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=32; categorical_columns=2.
openml_694_diggle_table_a2,diggle_table_a2,OpenML,openml:694,https://openml.org/data/v1/download/694/diggle_table_a2.arff,OpenML public; underlying source terms recorded in OpenML description,1,50088771b173ecaa48ca7d21b8c387feff2a64e74238aa4250e3585ef06dcc90,single-label-classification,col_1,310,9,76:18|77:41|78:39|79:40|80:35|81:38|82:40|83:39|84:20,2.2777777777777777,18,8,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=8; categorical_columns=0.
openml_1100_popularkids,PopularKids,OpenML,openml:1100,https://openml.org/data/v1/download/1100/PopularKids.arff,OpenML public; underlying source terms recorded in OpenML description,1,60a27babd1d9de07d0b8adc6b575ebb58e963f423e2660cda89aa66eca73b85e,single-label-classification,Goals,478,3,Grades:247|Popular:141|Sports:90,2.7444444444444445,90,10,,mixed,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=86; conflicting_feature_groups=52; numeric_columns=6; categorical_columns=4.
openml_1459_artificial_characters,artificial-characters,OpenML,openml:1459,https://openml.org/data/v1/download/1459/artificial-characters.arff,OpenML public; underlying source terms recorded in OpenML description,1,b3f0c409a49d5cea4ca360f640564a5663139c8ad508beba030bda04ea851266,single-label-classification,Class,10218,10,1:1196|10:600|2:1192|3:1416|4:808|5:1008|6:1000|7:800|8:1198|9:1000,2.36,600,7,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=5327; conflicting_feature_groups=27; numeric_columns=7; categorical_columns=0.
openml_1466_cardiotocography,cardiotocography,OpenML,openml:1466,https://openml.org/data/v1/download/1466/cardiotocography.arff,OpenML public; underlying source terms recorded in OpenML description,1,a97c576873553bddeef445d3f7f6316ce6cf93d8132ca01277f16bf31a407c09,single-label-classification,Class,2126,10,1:384|10:197|2:579|3:53|4:81|5:72|6:332|7:252|8:107|9:69,10.924528301886792,53,35,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=11; conflicting_feature_groups=0; numeric_columns=35; categorical_columns=0.
openml_1468_cnae_9,cnae-9,OpenML,openml:1468,https://openml.org/data/v1/download/1468/cnae-9.arff,OpenML public; underlying source terms recorded in OpenML description,1,34821705413b37ff8af6c0fc564c245e1807017dd53c2129b1a0310c1d8f046a,single-label-classification,Class,1080,9,1:120|2:120|3:120|4:120|5:120|6:120|7:120|8:120|9:120,1.0,120,856,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=28; conflicting_feature_groups=0; numeric_columns=856; categorical_columns=0.
openml_1475_first_order_theorem_proving,first-order-theorem-proving,OpenML,openml:1475,https://openml.org/data/v1/download/1475/first-order-theorem-proving.arff,OpenML public; underlying source terms recorded in OpenML description,1,09b95978a3cc41e716c8e0f73b8c5b0717629cdcb3725306e67bbaee63670344,single-label-classification,Class,6118,6,1:1089|2:486|3:748|4:617|5:624|6:2554,5.255144032921811,486,51,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=482; conflicting_feature_groups=118; numeric_columns=51; categorical_columns=0.
openml_1499_seeds,seeds,OpenML,openml:1499,https://openml.org/data/v1/download/1499/seeds.arff,OpenML public; underlying source terms recorded in OpenML description,1,f4d06d37c4a6fd23c8165e5d6d38c5fd820068a188e30df3faaee0c3eff43114,single-label-classification,Class,210,3,1:70|2:70|3:70,1.0,70,7,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,near_balanced_ir_lt_2,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=7; categorical_columns=0.
openml_1508_user_knowledge,user-knowledge,OpenML,openml:1508,https://openml.org/data/v1/download/1508/user-knowledge.arff,OpenML public; underlying source terms recorded in OpenML description,1,143b3e2c948d1ed4fe77e54da8c8121fdf1073e1bd93ec05607f8070f753355a,single-label-classification,Class,403,5,1:102|2:129|3:122|4:24|5:26,5.375,24,5,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=5; categorical_columns=0.
openml_1519_robot_failures_lp4,robot-failures-lp4,OpenML,openml:1519,https://openml.org/data/v1/download/1519/robot-failures-lp4.arff,OpenML public; underlying source terms recorded in OpenML description,1,31b0a1c8c0362df3fb324ece51f71491ab140494e460fca43da73e5c7c8923b1,single-label-classification,Class,117,3,1:72|2:24|3:21,3.4285714285714284,21,90,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=1; conflicting_feature_groups=0; numeric_columns=90; categorical_columns=0.
openml_1523_vertebra_column,vertebra-column,OpenML,openml:1523,https://openml.org/data/v1/download/1523/vertebra-column.arff,OpenML public; underlying source terms recorded in OpenML description,1,1755edeb1619de5db61a2cc19dceaf27e6772dd4a16189346b31b94b90cb3573,single-label-classification,Class,310,3,1:60|2:100|3:150,2.5,60,6,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=6; categorical_columns=0.
openml_1559_breast_tissue,breast-tissue,OpenML,openml:1559,https://openml.org/data/v1/download/1559/breast-tissue.arff,OpenML public; underlying source terms recorded in OpenML description,2,378b8cb152b3f595f96980430784b6ede622cb377f23c774471576cdb3ebd8a9,single-label-classification,Class,106,4,1:49|2:22|3:21|4:14,3.5,14,9,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=1; conflicting_feature_groups=0; numeric_columns=9; categorical_columns=0.
openml_40474_thyroid_allbp,thyroid-allbp,OpenML,openml:40474,https://openml.org/data/v1/download/40474/thyroid-allbp.arff,OpenML public; underlying source terms recorded in OpenML description,1,c10d45bc44d4792b7f815ce8a5cc7c93e8fbd0eedd49bd23d657295d10879439,single-label-classification,Class,2800,5,1:1632|2:91|3:275|4:31|5:771,52.645161290322584,31,26,,mixed,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=49; conflicting_feature_groups=0; numeric_columns=6; categorical_columns=20.
openml_40671_ecoli,ecoli,OpenML,openml:40671,https://openml.org/data/v1/download/40671/ecoli.arff,OpenML public; underlying source terms recorded in OpenML description,3,6e91f09ebbe0aec1a259c240f7f2bae187d7df9c67dc8afe31e84e90088dd3e6,single-label-classification,class,327,5,0:143|1:77|4:35|5:20|7:52,7.15,20,7,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=7; categorical_columns=0.
openml_40691_wine_quality_red,wine-quality-red,OpenML,openml:40691,https://openml.org/data/v1/download/40691/wine-quality-red.arff,OpenML public; underlying source terms recorded in OpenML description,1,62e78f24cb976abe144ea6f013b7bb2c743aa22ca018a529423312bbb7094110,single-label-classification,class,1599,6,3:10|4:53|5:681|6:638|7:199|8:18,68.1,10,11,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=240; conflicting_feature_groups=0; numeric_columns=11; categorical_columns=0.
openml_40700_cars1,cars1,OpenML,openml:40700,https://openml.org/data/v1/download/40700/cars1.arff,OpenML public; underlying source terms recorded in OpenML description,1,ca981e5207a82a9f0fbcaadfbaa57e24cfbce936f555ec75006b9a219dda7ea3,single-label-classification,class,392,3,0:68|1:79|2:245,3.6029411764705883,68,7,,mixed,False,False,False,False,review-fail; manual provenance decision,mild_ir_2_to_5,False,exclude: duplicate OpenML task family with openml_455_cars; one underlying task counts once,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=6; categorical_columns=1.
openml_40982_steel_plates_fault,steel-plates-fault,OpenML,openml:40982,https://openml.org/data/v1/download/40982/steel-plates-fault.arff,OpenML public; underlying source terms recorded in OpenML description,3,897894197774a87f2dc941644e4c7085034e553069f902f7462384050b67856f,single-label-classification,target,1941,7,Bumps:402|Dirtiness:55|K_Scratch:391|Other_Faults:673|Pastry:158|Stains:72|Z_Scratch:190,12.236363636363636,55,27,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=27; categorical_columns=0.
openml_40985_tamilnadu_electricity,tamilnadu-electricity,OpenML,openml:40985,https://openml.org/data/v1/download/40985/tamilnadu-electricity.arff,OpenML public; underlying source terms recorded in OpenML description,3,7b29afb1c903eb7d8a533febbc5f25258c588cbdb2c91d1acb64a888933016c3,single-label-classification,Class,45781,20,1:1410|10:2874|11:2870|12:1403|13:2896|14:1397|15:1403|16:1418|17:1405|18:1400|19:1405|2:2867|20:2888|3:2884|4:2905|5:2830|6:2887|7:2876|8:2857|9:2906,2.08017179670723,1397,2,,mixed,False,False,False,False,review-fail; manual provenance decision,mild_ir_2_to_5,False,exclude: electricity observations are time/season structured and no time-aware split is declared,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=2; categorical_columns=0.
openml_41082_usps,USPS,OpenML,openml:41082,https://openml.org/data/v1/download/41082/USPS.arff,OpenML public; underlying source terms recorded in OpenML description,2,ea4a70bf32366789eefaab327492854606dca3f3059a2c41ecee26cf3265e3b3,single-label-classification,int0,9298,10,1:1553|10:821|2:1269|3:929|4:824|5:852|6:716|7:834|8:792|9:708,2.193502824858757,708,256,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=256; categorical_columns=0.
openml_41164_fabert,fabert,OpenML,openml:41164,https://openml.org/data/v1/download/41164/fabert.arff,OpenML public; underlying source terms recorded in OpenML description,1,1578cd57c57cf88e08e5e379ed5f3ddceba804177710670e633baea5b333ea73,single-label-classification,class,8237,7,0:933|1:1433|2:1927|3:1515|4:979|5:948|6:502,3.8386454183266934,502,800,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=800; categorical_columns=0.
openml_41168_jannis,jannis,OpenML,openml:41168,https://openml.org/data/v1/download/41168/jannis.arff,OpenML public; underlying source terms recorded in OpenML description,1,01db34851b8a98b04e9fa5fb4904f135574a4393db2b5bf621dc0540af5e25e0,single-label-classification,class,83733,4,0:1687|1:28790|2:14734|3:38522,22.834617664493184,1687,54,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=54; categorical_columns=0.
