dataset_id,source,source_id,source_url,source_version,accessed_at_utc,license_or_terms,download_method,source_file_name,local_path,raw_sha256,file_size_bytes,download_status,notes
optdigits,OpenML (original UCI),openml:28,https://openml.org/data/v1/download/28/optdigits.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=28; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,optdigits.csv,data/raw/optdigits.csv,b8faefdae7b578bf8ac43c20093c36dc31cdd109fbdff642737f0edfb83bd454,834481,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
dermatology,OpenML (original UCI),openml:35,https://openml.org/data/v1/download/35/dermatology.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=35; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,dermatology.csv,data/raw/dermatology.csv,44a2db9466d17f2e3350f7f0133de23603181ccb43c94eceb85ae738406b470f,27764,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
segment,OpenML (original UCI),openml:36,https://openml.org/data/v1/download/36/segment.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=36; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,segment.csv,data/raw/segment.csv,a09b9f78fe4faf899316a0f92feec99870e73945032bd6b9f4b8f2cab85f75f8,319128,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
ecoli,OpenML (original UCI),openml:39,https://openml.org/data/v1/download/39/ecoli.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=39; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,ecoli.csv,data/raw/ecoli.csv,a31f44209b6d769af5e2626b727323f8740d74ee26b3d2d8e5470c111f4ce504,12679,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
soybean,OpenML (original UCI),openml:42,https://openml.org/data/v1/download/42/soybean.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=42; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,soybean.csv,data/raw/soybean.csv,69d1b9001dad2bb74cad5b78baf0f55195f0b76934857013937b43dd27eeef80,171536,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
tae,OpenML (original UCI),openml:48,https://openml.org/data/v1/download/48/tae.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=48; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,tae.csv,data/raw/tae.csv,15e0275d6e7ed117d66c494ce7aec13da404b3d9e551b648f040ad427defb2b4,2394,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
iris,OpenML (original UCI),openml:61,https://openml.org/data/v1/download/61/iris.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=61; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,iris.csv,data/raw/iris.csv,69a2774d46b2c322afba26d54109f90ffeeac617b0f771a168d696e66059da6c,4753,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
zoo,OpenML (original UCI),openml:62,https://openml.org/data/v1/download/52352/zoo.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=62; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,zoo.csv,data/raw/zoo.csv,92bdafbf574b12f9804ce7b96e587e54a46b6a8c030f76975130c2004b9b6b32,9574,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
wine,OpenML (original UCI),openml:187,https://openml.org/data/v1/download/3624/wine.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=187; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,wine.csv,data/raw/wine.csv,8b6d7891b2b42b595b92df0b10d9648260760b89aef142d7abb10f5c022e971a,11729,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
satimage,OpenML (original UCI),openml:182,https://openml.org/data/v1/download/3619/satimage.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=182; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,satimage.csv,data/raw/satimage.csv,eb1ff76e66c8bb58f2888e15493791dc5224400b51e973234311a305918fda20,2199147,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
hayes_roth,OpenML (original UCI),openml:329,https://openml.org/data/v1/download/52233/hayes-roth.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=329; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,hayes_roth.csv,data/raw/hayes_roth.csv,26bd3aca4a16ba82c58d7b33828433668de770bcd2d2c3794131f5568dafb5cf,1810,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
cnae_9,OpenML (original UCI),openml:1468,https://openml.org/data/v1/download/1586233/cnae-9.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=1468; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,cnae_9.csv,data/raw/cnae_9.csv,34821705413b37ff8af6c0fc564c245e1807017dd53c2129b1a0310c1d8f046a,1856379,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
seeds,OpenML (original UCI),openml:1499,https://openml.org/data/v1/download/1592291/seeds.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=1499; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,seeds.csv,data/raw/seeds.csv,f4d06d37c4a6fd23c8165e5d6d38c5fd820068a188e30df3faaee0c3eff43114,9538,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
splice,OpenML (original UCI),openml:46,https://openml.org/data/v1/download/46/splice.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=46; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,splice.csv,data/raw/splice.csv,56f3c987a41fd25a0a9a51ff553bc0517564fcd258419b8c73274e1548b0970e,394683,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
wine_quality_red,OpenML (original UCI),openml:40691,https://openml.org/data/v1/download/4965268/wine-quality-red.arff,OpenML dataset version 1; CSV materialized 2026-09-08,2026-09-08T17:38:51Z,UCI CC BY 4.0; OpenML public,sklearn.datasets.fetch_openml(data_id=40691; as_frame=True; parser=auto) via scripts/acquire_openml_candidates.py,wine_quality_red.csv,data/raw/wine_quality_red.csv,62e78f24cb976abe144ea6f013b7bb2c743aa22ca018a529423312bbb7094110,93579,downloaded,Raw CSV is ignored by Git; source identity and hash are recorded here.
