dataset_id,display_name,source,source_id,source_url,license_or_terms,source_version,raw_sha256,task_type,target_column,n_rows,n_classes,class_counts,ir_majority_minority,n_min_class,d_raw,d_encoded,feature_type,has_missing,has_groups,has_time_order,has_duplicates,leakage_status,eligible,exclusion_reason,applicable_families,notes
optdigits,Optical Recognition of Handwritten Digits,OpenML (original UCI),openml:28,https://openml.org/data/v1/download/28/optdigits.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,b8faefdae7b578bf8ac43c20093c36dc31cdd109fbdff642737f0edfb83bd454,single-label-classification,class,5620,10,0:554|1:571|2:557|3:572|4:568|5:558|6:558|7:566|8:554|9:562,1.032490974729242,554,64,,numeric,False,False,False,False,pass; source identifier not retained,True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,"UCI optical digit images; 5,620 rows are retained as the larger feasibility candidate and remain subject to the runtime gate. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0."
dermatology,Dermatology,OpenML (original UCI),openml:35,https://openml.org/data/v1/download/35/dermatology.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,44a2db9466d17f2e3350f7f0133de23603181ccb43c94eceb85ae738406b470f,single-label-classification,class,366,6,1:112|2:61|3:72|4:49|5:52|6:20,5.6,20,34,,mixed,True,False,False,False,pass; semantic ordinal signs restored as categorical and Age retained as numeric,True,,mixed;raw;class_weighted;random_over;random_under;smotenc;smoteenn;smotetomek;balanced_random_forest,"UCI Dermatology; 33 symptom/sign columns are semantic categorical values, Age is numeric, and eight missing values require fold-only imputation. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0."
segment,Image Segmentation,OpenML (original UCI),openml:36,https://openml.org/data/v1/download/36/segment.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,a09b9f78fe4faf899316a0f92feec99870e73945032bd6b9f4b8f2cab85f75f8,single-label-classification,class,2310,7,brickface:330|cement:330|foliage:330|grass:330|path:330|sky:330|window:330,1.0,330,19,,numeric,False,True,False,True,group-risk; regions originate from seven source images without a group column,False,exclude: valid image-grouped cross-validation is unavailable because the source image identifier is absent,numeric,UCI Statlog Image Segmentation; row-level random folds could share source-image information. Audit metrics: duplicate_rows=224; duplicate_feature_rows=224; conflicting_feature_groups=0.
ecoli,E. coli Protein Localization,OpenML (original UCI),openml:39,https://openml.org/data/v1/download/39/ecoli.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,a31f44209b6d769af5e2626b727323f8740d74ee26b3d2d8e5470c111f4ce504,single-label-classification,class,336,8,cp:143|im:77|imL:2|imS:2|imU:35|om:20|omL:5|pp:52,71.5,2,7,,numeric,False,False,False,False,"support-fail; no group or time field, but minimum class support is below five",False,"exclude: two classes have only two observations, below the provisional n_min_class >= 5 feasibility floor",numeric,UCI Ecoli; retained as an explicit support-failure candidate. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0.
soybean,Soybean Disease,OpenML (original UCI),openml:42,https://openml.org/data/v1/download/42/soybean.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,69d1b9001dad2bb74cad5b78baf0f55195f0b76934857013937b43dd27eeef80,single-label-classification,class,683,19,2-4-d-injury:16|alternarialeaf-spot:91|anthracnose:44|bacterial-blight:20|bacterial-pustule:20|brown-spot:92|brown-stem-rot:44|charcoal-rot:20|cyst-nematode:14|diaporthe-pod-&-stem-blight:15|diaporthe-stem-canker:20|downy-mildew:20|frog-eye-leaf-spot:91|herbicide-injury:8|phyllosticta-leaf-spot:20|phytophthora-rot:88|powdery-mildew:20|purple-seed-stain:20|rhizoctonia-root-rot:20,11.5,8,35,,categorical-only,True,False,False,True,label-conflict; categorical-only and one conflicting duplicate feature profile,False,"exclude: categorical-only data requires SMOTEN, which is not implemented, and a duplicate feature profile has conflicting labels",categorical-only,UCI Soybean; missing values and categorical semantics are preserved in the audit evidence. Audit metrics: duplicate_rows=52; duplicate_feature_rows=53; conflicting_feature_groups=1.
tae,Teaching Assistant Evaluation,OpenML (original UCI),openml:48,https://openml.org/data/v1/download/48/tae.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,15e0275d6e7ed117d66c494ce7aec13da404b3d9e551b648f040ad427defb2b4,single-label-classification,Class_attribute,151,3,1:49|2:50|3:52,1.0612244897959184,49,5,,mixed,False,False,False,True,label-conflict; four duplicate feature profiles have inconsistent targets,False,exclude: unresolved duplicate feature profiles with conflicting labels prevent a defensible row-independent split,mixed,"UCI TAE; Course instructor, Course, and semester are semantic categorical fields even though the materialized CSV is numerically encoded. Audit metrics: duplicate_rows=41; duplicate_feature_rows=45; conflicting_feature_groups=4."
iris,Iris,OpenML (original UCI),openml:61,https://openml.org/data/v1/download/61/iris.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,69a2774d46b2c322afba26d54109f90ffeeac617b0f771a168d696e66059da6c,single-label-classification,class,150,3,Iris-setosa:50|Iris-versicolor:50|Iris-virginica:50,1.0,50,4,,numeric,False,False,False,True,"pass; no identifier, group, or time field",True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,UCI Iris; balanced multiclass control with three exact duplicate rows and no conflicting duplicate labels. Audit metrics: duplicate_rows=3; duplicate_feature_rows=3; conflicting_feature_groups=0.
zoo,Zoo,OpenML (original UCI),openml:62,https://openml.org/data/v1/download/52352/zoo.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,92bdafbf574b12f9804ce7b96e587e54a46b6a8c030f76975130c2004b9b6b32,single-label-classification,type,101,7,amphibian:4|bird:20|fish:13|insect:8|invertebrate:10|mammal:41|reptile:5,10.25,4,16,,categorical-only,False,False,False,True,support-fail; categorical-only and minimum class support is four,False,exclude: categorical-only data requires SMOTEN and the smallest class has four observations,categorical-only,UCI Zoo; the source animal-name identifier is not retained in the modelling table. Audit metrics: duplicate_rows=42; duplicate_feature_rows=42; conflicting_feature_groups=0.
wine,Wine,OpenML (original UCI),openml:187,https://openml.org/data/v1/download/3624/wine.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,8b6d7891b2b42b595b92df0b10d9648260760b89aef142d7abb10f5c022e971a,single-label-classification,class,178,3,1:59|2:71|3:48,1.4791666666666667,48,13,,numeric,False,False,False,False,"pass; no identifier, group, or time field",True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,UCI Wine; compact three-class numeric candidate with all classes above the provisional support floor. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0.
satimage,Statlog Landsat Satellite,OpenML (original UCI),openml:182,https://openml.org/data/v1/download/3619/satimage.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,eb1ff76e66c8bb58f2888e15493791dc5224400b51e973234311a305918fda20,single-label-classification,class,6430,6,1.0:1531|2.0:703|3.0:1356|4.0:625|5.0:707|7.0:1508,2.4496,625,36,,numeric,False,True,False,False,group-risk; pixel/neighborhood observations have no scene or spatial group identifier,False,"defer: spatial independence and a valid grouped split are unresolved; the 6,430-row size also exceeds the preferred Stage 0 range",numeric,UCI Statlog Landsat Satellite; retained in the pool for an explicit spatial-dependence review. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0.
hayes_roth,Hayes-Roth,OpenML (original UCI),openml:329,https://openml.org/data/v1/download/52233/hayes-roth.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,26bd3aca4a16ba82c58d7b33828433668de770bcd2d2c3794131f5568dafb5cf,single-label-classification,class,160,3,1:65|2:64|3:31,2.096774193548387,31,4,,numeric,False,False,False,True,label-conflict; nine duplicate feature profiles have inconsistent targets,False,exclude: unresolved duplicate feature profiles with conflicting labels prevent a defensible row-independent split,numeric,"UCI Hayes-Roth; no identifier column is retained, but duplicate-profile label conflicts are disqualifying. Audit metrics: duplicate_rows=67; duplicate_feature_rows=76; conflicting_feature_groups=9."
cnae_9,CNAE-9,OpenML (original UCI),openml:1468,https://openml.org/data/v1/download/1586233/cnae-9.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,34821705413b37ff8af6c0fc564c245e1807017dd53c2129b1a0310c1d8f046a,single-label-classification,Class,1080,9,1:120|2:120|3:120|4:120|5:120|6:120|7:120|8:120|9:120,1.0,120,856,,numeric,False,False,False,True,"pass; no identifier, group, or time field",True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,Public OpenML CNAE-9 candidate; 856 source features provide the high-dimensional feasibility case and 28 duplicate rows have consistent labels. Audit metrics: duplicate_rows=28; duplicate_feature_rows=28; conflicting_feature_groups=0.
seeds,Seeds,OpenML (original UCI),openml:1499,https://openml.org/data/v1/download/1592291/seeds.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,f4d06d37c4a6fd23c8165e5d6d38c5fd820068a188e30df3faaee0c3eff43114,single-label-classification,Class,210,3,1:70|2:70|3:70,1.0,70,7,,numeric,False,False,False,False,"pass; no identifier, group, or time field",True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,UCI Seeds; balanced three-class numeric candidate with 70 observations per class. Audit metrics: duplicate_rows=0; duplicate_feature_rows=0; conflicting_feature_groups=0.
splice,Molecular Biology Splice Junction,OpenML (original UCI),openml:46,https://openml.org/data/v1/download/46/splice.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,56f3c987a41fd25a0a9a51ff553bc0517564fcd258419b8c73274e1548b0970e,single-label-classification,Class,3190,3,EI:767|IE:768|N:1655,2.1577574967405475,767,60,,categorical-only,False,False,False,True,label-conflict; categorical-only and one conflicting duplicate feature profile,False,exclude: categorical-only sequence data requires SMOTEN and one duplicate sequence profile has conflicting labels,categorical-only,UCI Splice; the OpenML-documented Instance_name identifier is already absent from the downloaded modelling frame. Audit metrics: duplicate_rows=184; duplicate_feature_rows=185; conflicting_feature_groups=1.
wine_quality_red,Wine Quality Red,OpenML (original UCI),openml:40691,https://openml.org/data/v1/download/4965268/wine-quality-red.arff,UCI CC BY 4.0; OpenML public,OpenML dataset version 1; CSV materialized 2026-09-08,62e78f24cb976abe144ea6f013b7bb2c743aa22ca018a529423312bbb7094110,single-label-classification,class,1599,6,3:10|4:53|5:681|6:638|7:199|8:18,68.1,10,11,,numeric,False,False,False,True,pass; quality label treated as the declared single-label multiclass target,True,,numeric;raw;class_weighted;random_over;random_under;smote;adasyn;borderline_smote;smoteenn;smotetomek;balanced_random_forest,"UCI Wine Quality; quality scores 3-8 are retained as six declared classes, with duplicate feature profiles carrying consistent labels. Audit metrics: duplicate_rows=240; duplicate_feature_rows=240; conflicting_feature_groups=0."
