dataset_id,openml_data_id,display_name,source_url,source_version,n_rows,n_classes,n_min_class,ir_majority_minority,d_raw,n_numeric_features,n_symbolic_features,feature_type,imbalance_band,selection_rule
openml_6_letter,6,letter,https://openml.org/data/v1/download/6/letter.arff,1,20000,26,734,1.10762942779,16,16,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_1468_cnae_9,1468,cnae-9,https://openml.org/data/v1/download/1468/cnae-9.arff,1,1080,9,120,1,856,856,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_1475_first_order_theorem_proving,1475,first-order-theorem-proving,https://openml.org/data/v1/download/1475/first-order-theorem-proving.arff,1,6118,6,486,5.25514403292,51,51,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_1499_seeds,1499,seeds,https://openml.org/data/v1/download/1499/seeds.arff,1,210,3,70,1,7,7,0,numeric,near_balanced_ir_lt_2,OpenML structural metadata only; no benchmark scores
openml_1508_user_knowledge,1508,user-knowledge,https://openml.org/data/v1/download/1508/user-knowledge.arff,1,403,5,24,5.375,5,5,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_1519_robot_failures_lp4,1519,robot-failures-lp4,https://openml.org/data/v1/download/1519/robot-failures-lp4.arff,1,117,3,21,3.42857142857,90,90,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_1523_vertebra_column,1523,vertebra-column,https://openml.org/data/v1/download/1523/vertebra-column.arff,1,310,3,60,2.5,6,6,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_1559_breast_tissue,1559,breast-tissue,https://openml.org/data/v1/download/1559/breast-tissue.arff,2,106,4,14,3.5,9,9,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_40474_thyroid_allbp,40474,thyroid-allbp,https://openml.org/data/v1/download/40474/thyroid-allbp.arff,1,2800,5,31,52.6451612903,26,6,20,mixed,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_40671_ecoli,40671,ecoli,https://openml.org/data/v1/download/40671/ecoli.arff,3,327,5,20,7.15,7,7,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_40691_wine_quality_red,40691,wine-quality-red,https://openml.org/data/v1/download/40691/wine-quality-red.arff,1,1599,6,10,68.1,11,11,0,numeric,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_40700_cars1,40700,cars1,https://openml.org/data/v1/download/40700/cars1.arff,1,392,3,68,3.60294117647,7,6,1,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_40982_steel_plates_fault,40982,steel-plates-fault,https://openml.org/data/v1/download/40982/steel-plates-fault.arff,3,1941,7,55,12.2363636364,27,27,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_40985_tamilnadu_electricity,40985,tamilnadu-electricity,https://openml.org/data/v1/download/40985/tamilnadu-electricity.arff,3,45781,20,1397,2.08017179671,3,2,1,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_41082_usps,41082,USPS,https://openml.org/data/v1/download/41082/USPS.arff,2,9298,10,708,2.19350282486,256,256,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_41164_fabert,41164,fabert,https://openml.org/data/v1/download/41164/fabert.arff,1,8237,7,502,3.83864541833,800,800,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_41168_jannis,41168,jannis,https://openml.org/data/v1/download/41168/jannis.arff,1,83733,4,1687,22.8346176645,54,54,0,numeric,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_41169_helena,41169,helena,https://openml.org/data/v1/download/41169/helena.arff,1,65196,100,111,36.0810810811,27,27,0,numeric,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_41440_okcupid_stem,41440,okcupid-stem,https://openml.org/data/v1/download/41440/okcupid-stem.arff,2,50789,3,4882,7.44571896764,19,2,17,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_41671_microaggregation2,41671,microaggregation2,https://openml.org/data/v1/download/41671/microaggregation2.arff,1,20000,5,743,15.0228802153,20,20,0,numeric,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_41701_cpmp_2015_classification,41701,CPMP-2015-classification,https://openml.org/data/v1/download/41701/CPMP-2015-classification.arff,1,527,4,78,2.66666666667,26,24,1,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_41705_asp_potassco_classification,41705,ASP-POTASSCO-classification,https://openml.org/data/v1/download/41705/ASP-POTASSCO-classification.arff,1,1294,11,21,12.2857142857,142,140,1,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_41919_cpmp_2015_runtime_classification,41919,CPMP-2015-runtime-classification,https://openml.org/data/v1/download/41919/CPMP-2015-runtime-classification.arff,1,527,4,78,2.66666666667,22,22,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_42345_traffic_violations,42345,Traffic_violations,https://openml.org/data/v1/download/42345/Traffic_violations.arff,5,70340,3,3506,9.80661722761,20,1,19,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_42585_penguins,42585,penguins,https://openml.org/data/v1/download/42585/penguins.arff,1,344,3,68,2.23529411765,6,4,2,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_45714_pricerunner,45714,PriceRunner,https://openml.org/data/v1/download/45714/PriceRunner.arff,3,35300,10,2212,2.48688969259,5,3,1,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_45968_braidflowsessionlevel,45968,BraidFlowSessionLevel,https://openml.org/data/v1/download/45968/BraidFlowSessionLevel.arff,1,2364,3,532,2.17293233083,123,117,5,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_46336_hayes_roth_clean,46336,hayes-roth_clean,https://openml.org/data/v1/download/46336/hayes-roth_clean.arff,1,160,3,31,2.09677419355,4,4,0,numeric,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_46443_credit_risk_china,46443,credit_risk_china,https://openml.org/data/v1/download/46443/credit_risk_china.arff,1,27522,5,103,247.72815534,27,12,0,numeric,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_46519_credit_risk_modeling,46519,Credit_Risk_Modeling,https://openml.org/data/v1/download/46519/Credit_Risk_Modeling.arff,1,51336,4,5803,5.54868171635,61,56,5,mixed,moderate_ir_5_to_20,OpenML structural metadata only; no benchmark scores
openml_46807_melbourne_airbnb,46807,melbourne_airbnb,https://openml.org/data/v1/download/46807/melbourne_airbnb.arff,2,18316,10,871,3.83352468427,103,32,19,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_46936_internet_firewall,46936,internet_firewall,https://openml.org/data/v1/download/46936/internet_firewall.arff,1,65532,4,54,697.037037037,11,11,0,numeric,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_46943_mic,46943,MIC,https://openml.org/data/v1/download/46943/MIC.arff,2,1699,8,12,119,122,17,105,mixed,severe_ir_gt_20,OpenML structural metadata only; no benchmark scores
openml_46955_sdss17,46955,SDSS17,https://openml.org/data/v1/download/46955/SDSS17.arff,1,78053,3,13994,3.40238673717,11,9,2,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
openml_46960_students_dropout_and_academic_success,46960,students_dropout_and_academic_success,https://openml.org/data/v1/download/46960/students_dropout_and_academic_success.arff,1,4424,3,794,2.78211586902,36,19,17,mixed,mild_ir_2_to_5,OpenML structural metadata only; no benchmark scores
